Jenis_Kelamin,Pekerjaan,Sering,Lupa_Waktu,Waktu_Sekali_Pakai,Waktu_Harian,Mengganggu_Produktivitas,Membuang_Waktu,Tidak_Bisa_Kontrol_Diri,Tidak_Sadar_Waktu,Fomo,Tanpa_Tujuan,Terpikirkan,Usaha_Melepaskan_Diri,Kesulitan_Melepaskan_Diri,Butuh_Aplikasi,Pernah_Memakai_Aplikasi_Pengaturan_Waktu
Laki-laki,Pelajar/Mahasiswa,Instagram,Instagram,31-60 menit,> 2 jam,4,5,5,5,5,5,5,Pernah,Ya,Ya,Ya
Laki-laki,Pelajar/Mahasiswa,Instagram,Instagram,5-10 menit,31-60 menit,3,3,3,3,4,2,3,Pernah,Ya,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,WA,WA,< 5 menit,> 3 jam,3,4,4,4,3,2,3,Pernah,Ya,Ya,Tidak
Perempuan,Ibu Rumah Tangga,Instagram,Instagram,11-30 menit,> 3 jam,4,5,3,3,2,3,2,Pernah,Ya,Tidak,Tidak
Laki-laki,Pelajar/Mahasiswa,WA,Instagram,31-60 menit,> 2 jam,4,5,4,4,2,3,2,Pernah,Ya,Ya,Tidak
Laki-laki,Pelajar/Mahasiswa,LINE,WA,11-30 menit,> 3 jam,2,2,3,2,2,4,2,Pernah,Tidak,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,LINE,Instagram,5-10 menit,> 3 jam,4,5,4,5,4,4,4,Pernah,Ya,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,Twitter,Twitter,31-60 menit,31-60 menit,4,4,4,3,2,4,3,Pernah,Ya,Ya,Tidak
Laki-laki,Pelajar/Mahasiswa,WA,WA,5-10 menit,> 2 jam,4,4,3,3,2,4,3,Pernah,Tidak,Tidak,Tidak
Perempuan,Pelajar/Mahasiswa,LINE,Instagram,11-30 menit,> 1 jam,4,4,4,3,4,4,2,Pernah,Ya,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,WA,Instagram,11-30 menit,> 2 jam,4,3,3,4,2,2,2,Pernah,Ya,Ya,Tidak
Laki-laki,Pelajar/Mahasiswa,Instagram,Instagram,5-10 menit,> 2 jam,4,3,4,3,2,2,2,Pernah,Ya,Ya,Tidak
Laki-laki,Pelajar/Mahasiswa,Instagram,Instagram,5-10 menit,31-60 menit,3,3,2,4,3,3,3,Tidak Tidak Pernah,,Tidak,Tidak
Laki-laki,Pelajar/Mahasiswa,Twitter,Instagram,31-60 menit,> 2 jam,5,5,3,2,4,4,1,Tidak Tidak Pernah,Tidak,Tidak,Ya
Laki-laki,Pelajar/Mahasiswa,WA,Instagram,11-30 menit,> 2 jam,3,4,4,4,3,3,2,Pernah,Ya,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,Twitter,Twitter,11-30 menit,> 2 jam,4,4,5,4,3,4,2,Pernah,Ya,Ya,Tidak
Laki-laki,Pelajar/Mahasiswa,Facebook,Facebook,> 1 jam,> 3 jam,1,3,2,4,1,5,3,Pernah,Tidak,Tidak,Tidak
Laki-laki,Pelajar/Mahasiswa,LINE,LINE,< 5 menit,> 1 jam,3,2,3,3,3,4,2,Tidak Tidak Pernah,Tidak,Tidak,Tidak
Laki-laki,Pelajar/Mahasiswa,Facebook,Facebook,> 1 jam,> 3 jam,4,4,4,4,3,4,2,Pernah,Ya,Ya,Tidak
Laki-laki,Pelajar/Mahasiswa,Instagram,Instagram,5-10 menit,> 1 jam,3,2,3,1,1,4,1,Pernah,Ya,Tidak,Ya
Laki-laki,Pelajar/Mahasiswa,Instagram,Instagram,5-10 menit,31-60 menit,3,4,3,4,3,2,2,Pernah,Ya,Tidak,Tidak
Perempuan,Pelajar/Mahasiswa,WA,Instagram,31-60 menit,> 3 jam,4,5,3,4,3,3,3,Pernah,Ya,Ya,Tidak
Laki-laki,Pelajar/Mahasiswa,Twitter,Instagram,11-30 menit,> 1 jam,5,5,5,5,3,4,4,Pernah,Ya,Ya,Ya
